Date,InternationArrivals(10k),Foreginer,HK_Macau,Taiwan
2011/1/31,54.16,44,4.25,5.91
2011/2/28,57.27,43.28,4.57,9.42
2011/3/31,68.34,54.81,5.69,7.84
2011/4/30,70.63,55.19,6.54,8.9
2011/5/31,70.65,55.94,5.66,9.05
2011/6/30,69.24,54.98,5.63,8.63
2011/7/31,69.41,53.89,5.76,9.76
2011/8/31,69.74,54.71,5.5,9.5
2011/9/30,74.39,60.15,5.53,8.71
2011/10/31,77.74,62.27,6.16,9.31
2011/11/30,74.95,60.42,5.91,8.62
2011/12/31,61.05,48.67,5.16,7.22
2012/1/31,56.59,43.3,4.82,8.47
2012/2/29,61.45,48.83,4.2,8.42
2012/3/31,73.02,59.65,5.56,7.81
2012/4/30,75.03,59.75,6.13,9.15
2012/5/31,71.01,56.92,5.3,8.79
2012/6/30,68.31,54.3,5.31,8.7
2012/7/31,65.86,50.99,5.18,9.69
2012/8/31,65.37,51.51,4.74,9.12
2012/9/30,67.3,53.87,5.32,8.11
2012/10/31,71.78,56.37,5.95,9.46
2012/11/30,68.25,53.77,5.84,8.64
2012/12/31,56.43,43.76,4.97,7.7
2013/1/31,56.25,44.96,4.34,6.95
2013/2/28,49.64,37.01,3.99,8.64
2013/3/31,70.23,56.38,5.8,8.05
2013/4/30,66.96,54.62,4.45,7.89
2013/5/31,60.96,49,4.29,7.67
2013/6/30,60.62,48.18,4.54,7.9
2013/7/31,61.52,47.26,5.19,9.07
2013/8/31,60.88,47.44,4.68,8.76
2013/9/30,66.62,53.34,5.14,8.14
2013/10/31,75.49,59.61,6.31,9.57
2013/11/30,69.79,54.52,6.21,9.06
2013/12/31,58.45,45.29,4.9,8.26
2014/1/31,52.03,41.08,4.49,6.46
2014/2/28,56.23,41.33,4.27,10.63
2014/3/31,73.79,59,6.13,8.66
2014/4/30,75.22,58.65,6.56,10.01
2014/5/31,70,54.11,5.85,10.04
2014/6/30,65.43,50.35,5.47,9.61
2014/7/31,62.57,47.07,5.46,10.04
2014/8/31,61.22,46.38,5.09,9.75
2014/9/30,67.64,53.08,5.45,9.11
2014/10/31,75.28,58.08,6.54,10.66
2014/11/30,72.76,57.07,6.27,9.42
2014/12/31,59.13,44.92,5.38,8.83
2015/1/31,58.65,45.55,4.5,8.6
2015/2/28,44.22,32.24,4.31,7.67
2015/3/31,75.85,59.33,5.77,10.75
2015/4/30,75.7,58.77,6.68,10.25
2015/5/31,73.6,56.76,5.99,10.85
2015/6/30,64.91,49.24,5.63,10.04
2015/7/31,63.05,46.93,5.61,10.51
2015/8/31,63.25,47.73,5.29,10.23
2015/9/30,67.82,53.39,5.33,9.1
2015/10/31,76.52,59.36,6.33,10.83
2015/11/30,73.3,56.86,6.19,10.25
2015/12/31,63.27,48.49,5.89,8.89
2016/1/31,50.34,47.04,4.89,8.41
2016/2/29,50.61,35.9,4.51,10.2
2016/3/31,74,60,6,8
2016/4/30,77.26,60.73,6.02,10.51
2016/5/31,76.1,59.11,6.14,10.85
2016/6/30,69.25,53.11,5.79,10.35
2016/7/31,70.03,52.89,5.98,11.16
2016/8/31,71.85,54.96,5.74,11.15
2016/9/30,74.03,58.42,5.55,10.06
2016/10/31,84.55,66.23,6.65,11.67
2016/11/30,76.09,59.36,6.23,10.5
2016/12/31,68.69,52.48,6.47,9.74
2017/1/31,56.29,43.16,5.18,7.95
2017/2/28,57.18,42.14,4.18,10.86
2017/3/31,78.7,62.5,5.99,10.21
2017/4/30,80.42,62.01,7.54,10.87
2017/5/31,77.19,59.64,6.18,11.37
2017/6/30,71.78,54.84,5.91,11.03
2017/7/31,69.82,51.97,6.16,11.69
2017/8/31,71.54,53.99,5.86,11.69
2017/9/30,76.18,60.81,5.68,9.69
2017/10/31,82.37,64.09,6.67,11.61
2017/11/30,80.12,62.18,6.89,11.05
2017/12/31,71.41,53.89,7.38,10.14
2018/1/31,63.74,49.42,5.09,9.23
2018/2/28,47.06,33.52,4.62,8.92
2018/3/31,82.37,64.61,7.08,10.68
2018/4/30,82.02,63.94,6.59,11.49
2018/5/31,80.44,62.34,6.46,11.64
2018/6/30,73.14,55.66,6.5,10.98
2018/7/31,71.51,52.45,6.79,12.27
2018/8/31,71.59,53.6,6.14,11.85
2018/9/30,78.03,61.99,6.03,10.28
2018/10/31,87.46,68.27,7.08,12.11
2018/11/30,84.72,66.4,7.08,11.24
2018/12/31,71.37,53.7,7.32,10.35
2019/1/31,60.95,47.55,5.18,8.22
2019/2/28,55.17,39.14,4.77,11.26
2019/3/31,82.51,64.82,6.49,11.2
2019/4/30,82.67,64.08,7.83,10.76
2019/5/31,77.72,60.28,6.5,10.94
2019/6/30,74.9,56.99,6.78,11.13
2019/7/31,70.65,51.64,7.33,11.68
2019/8/31,71.03,54.03,6.04,10.96
2019/9/30,77.12,61.66,5.66,9.8
2019/10/31,87.02,68.18,6.84,12
2019/11/30,84.48,66.94,6.7,10.84
2019/12/31,73,56.81,6.75,9.44
2020/1/31,48.98,37.71,4.3,6.97
2020/2/29,8.25,4.81,0.62,2.82
2020/3/31,6.6,4.2,0.38,2.02
2020/4/30,1.7,0.86,0.21,0.63
2020/5/31,4.69,2.49,0.58,1.62
2020/6/30,5.31,3.01,0.65,1.65
2020/7/31,6.86,3.73,1.02,2.11
2020/8/31,8.95,4.78,1.42,2.75
2020/9/30,9.26,5.11,1.47,2.68
2020/10/31,10.09,5.66,1.66,2.77
2020/11/30,8.89,5.18,1.5,2.21
2020/12/31,9.03,5.47,1.51,2.05
2021/1/31,6.86,3.93,1.13,1.8
2021/2/28,5.82,3.52,0.79,1.51